Sigma Ratio Sc_solvent Sc_all Rho Emol nbonds A11 A12 A13 A14 A15 A22 A23 A24 A25 A33 A34 A35 A44 A45 A55 B Gamma rD kB Fsrp Rsrp Press1 Press2 Comp1 Comp2 Comp3 Comp4 Comp5
3.2279 0.283911 1503.05 1381.85 4.79 2583.7954 127 -39.67 -84.89 -26.58 -29.36 -90.05 -28.68 -82.89 -98.37 -125.04 -85.02 -18.7 -399.59 -85.11 -217.88 -54.59 48.31 15.71 1.62 29.3 28.2 1.98 -3.436 -0.564 0.888 0.032 0.009 0.048 0.023 
27.6259 0.0443611 446759 440268 3.53 1059.7901 81 -101.86 -307.62 0.0 0.0 0.0 -60.96 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 49.87 12.83 1.11 15.9 33.5 1.54 -6.357 -0.753 0.981 0.019 0.0 0.0 0.0 
92.7113 0.0959689 7708.49 7708.49 7.96 0 0 -113.09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 44.29 14.14 1.39 0.0 0.0 0.0 -18.964 -2.947 1.0 0.0 0.0 0.0 0.0 
19.0011 -0.047546 5691.07 5673.07 3.12 0 0 -83.08 -186.1 0.0 0.0 0.0 -72.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 64.33 12.89 1.54 0.0 0.0 0.0 -2.153 -0.617 0.963 0.037 0.0 0.0 0.0 
1.28924 0.2997 74172.1 72601.9 3.21 0 0 -111.95 -473.55 0.0 0.0 0.0 -112.59 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22.1 14.97 1.2 0.0 0.0 0.0 -1.473 -0.485 0.967 0.033 0.0 0.0 0.0 
4.1519 0.386724 369.617 369.617 5.51 0 0 -26.56 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 20.02 13.55 1.65 0.0 0.0 0.0 3.615 -0.533 1.0 0.0 0.0 0.0 0.0 
27.7762 0.061863 923.3 908.692 6.32 0 0 -72.01 -226.83 0.0 0.0 0.0 -113.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 26.12 12.09 1.06 0.0 0.0 0.0 -5.659 -0.805 0.984 0.016 0.0 0.0 0.0 
2.24935 0.316896 8722.51 8716.93 6.51 0 0 -41.64 -73.29 0.0 0.0 0.0 -23.68 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 70.43 13.69 1.69 0.0 0.0 0.0 343.907 -0.625 0.968 0.032 0.0 0.0 0.0 
0.341713 0.334886 40.2249 38.7408 5.18 739.29389 38 -10.96 -38.36 -32.0 -46.14 0.0 -42.45 -195.69 -126.5 0.0 -79.74 -283.87 0.0 -67.05 0.0 0.0 33.7 14.28 1.14 28.2 38.7 1.8 59.515 1.487 0.958 0.005 0.025 0.012 0.0 
10.9085 -0.400881 4279.45 4279.45 5.45 0 0 -68.69 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 63.31 12.56 1.46 0.0 0.0 0.0 4.526 -0.578 1.0 0.0 0.0 0.0 0.0 
11.2598 0.16136 599.848 599.848 4.77 0 0 -60.44 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 45.82 14.47 1.35 0.0 0.0 0.0 -3.997 -0.505 1.0 0.0 0.0 0.0 0.0 
1.02142 -0.420708 273.068 269.286 4.54 0 0 -26.78 -92.39 0.0 0.0 0.0 -33.46 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 47.02 15.26 1.44 0.0 0.0 0.0 7.095 -0.166 0.955 0.045 0.0 0.0 0.0 
5.17164 0.241897 912.598 884.165 5.07 533.40778 27 -45.88 -84.42 -200.95 -12.39 0.0 -32.53 -92.71 -99.22 0.0 -84.45 -232.24 0.0 -17.89 0.0 0.0 34.55 14.58 1.5 28.7 29.4 1.79 -3.235 -0.582 0.958 0.001 0.03 0.011 0.0 
17.1136 0.0497185 1059.67 999.878 7.37 1277.8924 34 -79.93 -19.18 -207.82 -134.28 0.0 -26.04 -88.8 -35.41 0.0 -72.68 -80.67 0.0 -32.23 0.0 0.0 50.09 12.57 1.04 59.9 34.5 1.63 138.249 -0.554 0.913 0.043 0.036 0.008 0.0 
14.0442 0.110058 17645.6 15626.9 5.16 0 0 -70.57 -318.27 -345.79 -89.62 0.0 -112.77 -430.78 -246.97 0.0 -107.42 -534.95 0.0 -66.8 0.0 0.0 52.93 13.89 1.06 0.0 0.0 0.0 -3.276 -0.507 0.878 0.047 0.046 0.029 0.0 
82.5328 0.0667276 2.6979e+07 2.59496e+07 6.31 32743.751 897 -112.55 -64.15 -56.28 -113.68 0.0 -98.11 -20.6 -28.45 0.0 -71.07 -105.18 0.0 -12.52 0.0 0.0 29.72 12.88 1.2 57.5 54.3 1.52 -9.262 -2.376 0.894 0.034 0.029 0.043 0.0 
12.0196 0.00601749 33.238 34.2344 3.02 0 0 -52.87 -38.07 0.0 0.0 0.0 -39.79 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.84 13.1 1.02 0.0 0.0 0.0 -1.004 -0.317 0.973 0.027 0.0 0.0 0.0 
52.1679 0.0846647 4.48953e+07 7.88641e+07 4.91 0 0 -99.06 -68.35 -21.79 -87.17 0.0 -22.08 -17.66 -20.98 0.0 -99.11 -18.83 0.0 -117.63 0.0 0.0 40.25 14.65 1.41 0.0 0.0 0.0 -4.068 -1.694 0.938 0.015 0.033 0.014 0.0 
21.4464 0.0432781 445.075 445.075 5.56 0 0 -86.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 51.67 13.63 1.08 0.0 0.0 0.0 -7.093 -0.61 1.0 0.0 0.0 0.0 0.0 
